lice_limit,loc_nr,lice_year
0.5,10823,2017
0.5,12392,2017
0.5,29056,2017
0.5,28396,2017
0.5,12212,2017
0.5,12966,2017
0.5,29996,2017
0.5,14076,2017
0.5,35317,2017
0.5,14039,2017
0.5,11410,2017
0.5,13876,2017
0.5,12022,2017
0.5,14435,2017
0.5,28996,2017
0.5,16216,2017
0.5,13549,2017
0.5,36757,2017
0.5,14043,2017
0.5,10292,2017
0.5,12978,2017
0.5,33337,2017
0.5,32057,2017
0.5,12385,2017
0.5,12633,2017
0.5,12127,2017
0.5,35477,2017
0.5,10232,2017
0.5,12370,2017
0.5,12134,2017
0.5,32977,2017
0.5,13550,2017
0.5,10611,2017
0.5,13685,2017
0.5,15516,2017
0.5,11807,2017
0.5,10814,2017
0.5,13139,2017
0.5,22555,2017
0.5,10137,2017
0.5,36117,2017
0.5,10447,2017
0.5,31637,2017
0.5,28956,2017
0.5,12904,2017
0.5,21397,2017
0.5,13541,2017
0.5,34277,2017
0.5,29596,2017
0.5,10078,2017
0.5,12047,2017
0.5,26435,2017
0.5,36257,2017
0.5,34057,2017
0.5,11772,2017
0.5,13293,2017
0.5,33837,2017
0.5,36077,2017
0.5,12107,2017
0.5,10877,2017
0.5,10794,2017
0.5,29516,2017
0.5,30157,2017
0.5,33657,2017
0.5,10858,2017
0.5,35617,2017
0.5,13629,2017
0.5,27215,2017
0.5,11332,2017
0.5,33997,2017
0.5,29957,2017
0.5,11864,2017
0.5,10303,2017
0.5,10978,2017
0.5,10213,2017
0.5,34477,2017
0.5,13221,2017
0.5,11611,2017
0.5,24937,2017
0.5,10513,2017
0.5,13965,2017
0.5,17576,2017
0.5,15659,2017
0.5,11041,2017
0.5,10375,2017
0.5,23816,2017
0.5,14495,2017
0.5,11129,2017
0.5,26315,2017
0.5,10791,2017
0.5,19457,2017
0.5,33937,2017
0.5,35897,2017
0.5,33297,2017
0.5,13020,2017
0.5,24495,2017
0.5,34537,2017
0.5,11922,2017
0.5,27055,2017
0.5,11168,2017
0.5,11537,2017
0.5,10181,2017
0.5,31697,2017
0.5,11272,2017
0.5,30559,2017
0.5,14019,2017
0.5,11320,2017
0.5,10795,2017
0.5,33737,2017
0.5,27876,2017
0.5,10790,2017
0.5,15403,2017
0.5,22995,2017
0.5,11908,2017
0.5,28676,2017
0.5,12071,2017
0.5,12383,2017
0.5,10136,2017
0.5,10197,2017
0.5,19875,2017
0.5,17235,2017
0.5,30518,2017
0.5,12394,2017
0.5,24696,2017
0.5,11088,2017
0.5,13888,2017
0.5,12179,2017
0.5,19655,2017
0.5,10050,2017
0.5,13691,2017
0.5,13959,2017
0.5,11205,2017
0.5,31397,2017
0.5,13345,2017
0.5,11738,2017
0.5,13554,2017
0.5,20315,2017
0.5,11378,2017
0.5,11164,2017
0.5,34697,2017
0.5,33417,2017
0.5,33517,2017
0.5,11854,2017
0.5,10841,2017
0.5,13786,2017
0.5,18255,2017
0.5,11688,2017
0.5,11972,2017
0.5,19556,2017
